"country,""broadband"",""gross"""
"Argentina,""58.8700"",""13778096"" "
"Australia,""82.7300"",""103866237"" "
"Austria,""94.3100"",""16121641"" "
"Bahrain,""73.9500"",""1034364"" "
"Belgium,""125.1200"",""15866546,"" "
"Bolivia,""27.8000"",""1454156"" "
"Brazil,""113.0900"",""57778619"" "
"Bulgaria,""86.7500"",""3982690"" "
"Chile,""217.6000"",""10818765"" "
"China,""196.5700"",""202619650"" "
"Colombia,""72.1900"",""13189735"" "
"Croatia,""69.0900"",""2029219"" "
"Denmark,""227.9100"",""25008139"" "
"Dominican Republic,""32.2600"",""1440545"" "
"Ecuador,""39.0700"",""2688120"" "
"Egypt,""39.9700"",""2369317"" "
"Estonia,""88.4900"",""1261587"" "
"Finland,""135.0500"",""5892854"" "
"France,""214.0400"",""174376309"" "
"Germany,""136.6600"",""156632531"" "
"Ghana,""52.1000"",""59590"" "
"Greece,""39.0800"",""14158758"" "
"Hong Kong,""254.7000"",""23135165"" "
"Hungary,""210.5500"",""9296732"" "
"India,""64.0300"",""27997726"" "
"Indonesia,""27.8300"",""5809653"" "
"Israel,""162.6600"",""13488099"" "
"Italy,""104.0900"",""93746295"" "
"Jamaica,""37.8400"",""491669"" "
"Japan,""178.7600"",""170640248"" "
"Jordan,""84.1200"",""987790"" "
"Kuwait,""149.3700"",""1784632"" "
"Latvia,""135.2200"",""1520588"" "
"Lebanon,""18.2200"",""1690463"" "
"Lithuania,""147.0500"",""1537668"" "
"Malaysia,""107.5500"",""7342721"" "
"Mexico,""54.8800"",""43763643"" "
"Mongolia,""53.5300"",""174906"" "
"Netherlands,""165"",""26874162"" "
"New Zealand,""170.5100"",""12414961"" "
"Nigeria,""17.6500"",""132847"" "
"Norway,""168.2500"",""14646667"" "
"Oman,""68.2800"",""207809"" "
"Pakistan,""13.8400"",""312166"" "
"Paraguay,""72.5000"",""120000"" "
"Peru,""58.7300"",""5200137"" "
"Philippines,""71.8500"",""5956400"" "
"Poland,""156.3300"",""30877702"" "
"Portugal,""162.5500"",""1109685"" "
"Qatar,""113.8800"",""1148698"" "
"Romania,""232.1700"",""6378691"" "
"Russia,""95.9600"",""116074219"" "
"Serbia,""86.7700"",""116074219"" "
"Singapore,""255.8300"",""8174540"" "
"Slovakia,""115.1100"",""2916247"" "
"Slovenia,""115.6100"",""1917323"" "
"South Africa,""54.7500"",""7417291"" "
"South Korea,""212.5700"",""108305197"" "
"Spain,""201.4700"",""107309094"" "
"Sweden,""174.9000"",""24364124"" "
"Switzerland,""229.9600"",""20109162"" "
"Syria,""12.7200"",""220657"" "
"Taiwan,""152.0100"",""27611042"" "
"Thailand,""225.1700"",""9220251"" "
"Trinidad and Tobago,""85.8000"",""698251"" "
"Turkey,""43.4800"",""17506645"" "
"Ukraine,""76.8200"",""8158011"" "
"United Arab Emirates,""189.0700"",""7311410"" "
"United Kingdom,""102.2400"",""147646580"" "
"United States,""203.8100"",""5536710"" "
"Uruguay,""69.9100"",""1274650"" "
"Venezuela,""23.9200"",""9060514"" "
"Vietnam,""78.3400"",""2094900"""
